Surname;First name;Cl.name;Class;Time;Pl;Points;SSOL1;SSOL2;SSOL3;SSOL4;SSOL5;Sum;Average;ID
Sedej;Rok;OK Azimut;M10;0:09:32;1;25;15;20;;25;25;70;23;924
Miheljak;Andraž;OK Slovenj Gradec;M10;;;;25;25;;;;50;25;981
Malus;Drejc;OK Komenda;M10;0:13:39;3;15;20;-;;15;15;50;17;895
Andrejc;Aljoša;OK Slovenj Gradec;M10;0:29:03;5;10;12;15;;10;10;37;12;1017
Prezelj;Mihej;OK Azimut;M10;0:13:31;2;20;;12;;;20;32;16;1006
Jarc;Val;OK Komenda;M10;0:15:58;4;12;;;;12;12;24;12;1082
Obid;Anže;OK Azimut;M10;mp;;;;-;;20;-;20;20;1004
Andrejc;Lenart;OK Slovenj Gradec;M10;;;;10;;;;;10;10;1063
Kerčmar;Kevin;OK Azimut;M10;;;;;;;8;;8;8;1048
Mlakar;Robi;OK Azimut;M10;0:30:43;6;8;;;;;8;8;8;1058
Ladiha;Urban;OK Azimut;M10;;;;;;;;;0;0;1057
Serjun;Mark;OK Azimut;M10;;;;;;;;;0;0;1061
Sedej;David;OK Azimut;M12;0:11:01;3;15;25;10;;25;15;65;22;923
Kölner;Anže;OK Komenda;M12;0:09:43;1;25;20;-;;20;25;65;22;879
Malus;Ožbej;OK Komenda;M12;0:13:21;5;10;7;20;;15;10;45;15;840
Kurinčič;Jakob;OK Komenda;M12;0:10:27;2;20;10;8;;12;20;42;14;915
Šuc;Enej;OK Komenda;M12;0:12:56;4;12;15;12;;8;12;39;13;928
Ferluga;Matej;OK Komenda;M12;;;;;25;;7;;32;16;1074
Foški;Oskar;OK Polaris;M12;;;;12;;;10;;22;11;878
Bratož;Matej;PD Ajdovščina;M12;;;;5;15;;;;20;10;1069
Kremžar;Florijan;OK Komenda;M12;0:14:56;7;7;;;;6;7;13;6;970
Novak;Nejc;OK Azimut;M12;0:14:09;6;8;;-;;4;8;12;6;1075
Cigoj;Rok;PD Ajdovščina;M12;;;;3;7;;;;10;5;1068
Svetec;Staš;OK Slovenj Gradec;M12;;;;8;;;;;8;8;997
Bizjak;Beno;OK Azimut;M12;0:18:07;8;6;;-;;-;6;6;6;1055
Valič;Ištvan;OK Slovenj Gradec;M12;;;;6;;;;;6;6;950
Kalc;Rado;OK Komenda;M12;;;;;;;5;;5;5;1087
Mlakar;Ruj David;OK Slovenj Gradec;M12;;;;4;;;;;4;4;1064
Cvelbar;Luka;OK Azimut;M12;;;;;;;;;0;0;922
Turk;Nejc;OK Komenda;M16;0:14:10;2;20;25;25;;25;20;75;25;701
Seljak;Luka;OK Komenda;M16;0:15:41;4;12;20;12;;20;12;52;17;613
Jevševar;Martin;OK Brežice;M16;0:13:56;1;25;;15;;-;25;40;20;585
Bogataj;Rok;OK Azimut;M16;0:14:29;3;15;;10;;15;15;40;13;766
Bizjak;Božo;OK Azimut;M16;0:18:56;8;6;15;2;;8;6;29;10;1007
Zupan;Tilen;OK Komenda;M16;0:18:32;7;7;;8;;12;7;27;9;700
Cokan;Jan;OK Komenda;M16;0:17:48;6;8;-;7;;10;8;25;8;897
Novak;Jakob;PD Ajdovščina;M16;;;;;20;;;;20;20;1030
Seljak;Jaka;OK Komenda;M16;0:26:29;10;4;12;3;;-;4;19;6;884
Žižek;Lev;OK Azimut;M16;0:33:32;11;3;7;;;7;3;17;6;934
Gantar;Primož;OK Azimut;M16;0:15:47;5;10;;5;;;10;15;8;917
Štifter;Matevž;OK Slovenj Gradec;M16;;;;10;;;;;10;10;956
Miheljak;Tevž;OK Slovenj Gradec;M16;;;;8;1;;;;9;4;902
Kerševan;Aljaž;PD Ajdovščina;M16;;;;-;6;;;;6;6;1031
Gantar;Borut;OK Azimut;M16;0:20:22;9;5;;1;;;5;6;3;920
Kavčič;Valentin;OK Azimut;M16;;;;;4;;;;4;4;788
Anderluh;Luka;OK Polaris;M16;;;;;1;;;;1;1;474
Faganel;Vid;PD Ajdovščina;M16;;;;;1;;;;1;1;1041
Obid;Aljaž;OK Azimut;M16;mp;;;;;;;-;0;0;846
Škvarča;Aljaž;OK Azimut;M16;;;;;;;;;0;0;971
Likar;Tadej;OK Azimut;M16;;;;;;;;;0;0;1008
Močnik;Fedja;OK Polaris;M16;;;;;;;;;0;0;654
Čelik;Aljaž;OK Azimut;M16;;;;;;;;;0;0;736
Kunc;Matevž;OK Tivoli;M16;;;;;;;;;0;0;578
Ilovar;Rok;OK Tivoli;M16;;;;;;;;;0;0;916
Pivk;Luka;OK Azimut;M16;;;;;;;;;0;0;1088
Kern;Rok;OK Komenda;M16;;;;;;;;;0;0;648
Poženel;Natan Maj;OK Komenda;M18;mp;;;25;25;;25;-;75;25;873
Logar;Enej;OK Azimut;M18;0:19:33;1;25;;;;;25;25;25;872
Jamšek;Benjamin;OK Azimut;M18;;;;;20;;;;20;20;907
Smole;Enej;OK Polaris;M18;;;;;15;;;;15;15;471
Luznar;Aljaž;OK Azimut;M18;;;;;;;;;0;0;966
Stanonik;Simon;OK Azimut;M21;0:16:30;2;20;20;25;;25;20;70;23;620
Ravnikar;Žan;OK Komenda;M21;0:16:32;3;15;12;-;;20;15;47;16;397
Tušar;Peter;OK Azimut;M21;0:17:06;4;12;;12;;12;12;36;12;419
Štanfel;Matjaž;OK Azimut;M21;;;;;20;;15;;35;18;769
Hvala;Gregor;OK Azimut;M21;;;;25;-;;10;;35;18;424
Blaž;Matic;OK Komenda;M21;mp;;;15;15;;-;-;30;15;520
Bogataj;Mark;OK Azimut;M21;0:15:17;1;25;;;;-;25;25;25;677
Gantar;Tjaž;OK Azimut;M21;0:20:50;6;8;8;7;;;8;23;8;536
